k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
4700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,96782827549981784369983676922,1036505642010764109287311913532,469394768558476,312936815608276,974747634065573377305555409750,575006605408985842992967863134,9214574518649,1152291323432021
4800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,187886565495446728435504626613,75143045959766345549258073451,1116982070744574,159112168545912,76055908087371576756828799725,1103848162266479202403438688470,116658161384187,107227378307541
4900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,183673740851375088726939228621,1295878069226871464877152363262,1132471445707858,956716562613067,342993693674775434842523173184,772223930613878306307719144153,708227977385018,665432980325530
5000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,424645940526231559357012791904,279634307498310191384659329444,469853238765314,890145222143113,569822440905718942902851659056,491976361317770452215849204633,510467899744771,761715082619760
5100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,753016120888348835463641536889,1044994739175118443044553515185,536561979625426,1122604999784374,567194101483350875364441947536,635932990215053897147446896296,418057073836703,495823654582610
5200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1087755659063983896001564701011,750927417218855702676731080062,226959511835015,864952010816250,624290769774695144038798085085,1035704784027205078757395347286,780429002019657,1056782990891134
5300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,391023771187413726845461781047,266722134072162213407793711248,469645965058410,141844049881961,568825854687569074972480131572,357129562306198069582226641982,974246183493359,223761294721887
5400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,644920770547528429880168718714,519189532342536331549369665544,9423178524033,1021472782853604,256736401500390331835480892144,1082622204620082546809466645266,256428143365098,546697530358379
5500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,877146779038491221282432109461,412001630319007478002922698627,719801945889060,786409511846843,1178715218173698623528907439417,295296281118617748257860114749,597820798342116,547376668984846
5600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1173972924941371797683518200851,930451869138594308646205294343,38875425532852,266958631042933,766543838411089872963187419826,508158910473455942748856079984,223836055107555,195886910854075
